Points Used, Total X Movement (cm), Total Y Movement (cm), Total R Movement (cm), Original Number of Points
794,202.95501651827192,135.9413891767257,275.7063935304085,875
Time (s), X (cm), Y (cm), R (cm)
6.293,36.93708502515591,13.632899089722715,39.37263247163135
6.307,36.848411468856554,13.61493316271222,39.283225845178244
6.32,36.436228201542775,13.675342802648245,38.91803857242608
6.333,35.767156426763435,13.803817801540507,38.33842543395192
6.347,34.943019964580905,13.980997525350343,37.63619183776372
6.36,34.08230257835916,14.182011554250089,36.91521096740083
6.373,33.29908803225129,14.38117456087499,36.2718547296658
6.387,32.68354999192532,14.556849045488551,35.7787128640456
6.4,32.28769386186541,14.695439295893397,35.47465448763143
6.413,32.11895140825091,14.793655468106971,35.36211647617594
6.427,32.14261975651325,14.858552482320377,35.410797600190605
6.44,32.2923497849483,14.905327107139644,35.566341262551624
6.453,32.48629018637646,14.953345259722646,35.76257239810818
6.467,32.645407046374565,15.021263792434514,35.93551122699365
6.48,32.71014204132793,15.122320000415423,36.036619632795926
6.493,32.65201115451885,15.2608394689837,36.0422953449543
6.506,32.477881501863784,15.430759917646201,35.95721260728009
6.52,32.22625426790489,15.616536598588185,35.810720175314856
6.533,31.95659173495296,15.796274466948184,35.64752505223361
6.547,31.734197569534665,15.946435378420176,35.51546278257388
6.56,31.614084750466574,16.047103643687734,35.4536301379836
6.573,31.627452598057207,16.086642645134695,35.48345853259828
6.587,31.773805965412823,16.06467660717229,35.604052859481214
6.6,32.02051103773461,15.992669195917133,35.79215829099609
6.613,32.30995515778497,15.891877370915012,36.006735045964334
6.627,32.57280656080482,15.789029808296336,36.19780641882709
6.64,32.74450826248035,15.710592849092487,36.3183913330643
6.653,32.781379547769276,15.676830975027396,36.33705924362185
6.667,32.67270507754319,15.696964128083694,36.247763240267155
6.68,32.44597232775175,15.76654237718622,36.07388222557756
6.693,32.16381761367872,15.867729118007347,35.86496885330374
6.706,31.91297330772922,15.972590022842626,35.68699339223815
6.72,31.787215842808084,16.048846361396837,35.60888316935803
6.733,31.86763914793724,16.06700109089854,35.688863093660984
6.746,32.204240213744555,16.007402791833755,35.9631760539106
6.76,32.80265559474832,15.865755094925662,36.43811738824926
6.773,33.61894832829282,15.655829733283323,37.08555906735101
6.786,34.56379534092612,15.408658783836511,37.842868732247666
6.8,35.515574035525404,15.168168866411621,38.619028287009826
6.813,36.34006599026922,14.983942201706805,39.3080007133562
6.826,36.9131468181257,14.902400603366114,39.80781269750588
6.84,37.142190389718806,14.958081222253892,40.04106018573515
6.853,36.98211719827883,15.16672443698861,39.97132125180225
6.866,36.443025356041474,15.521604466987512,39.61078517690212
6.88,35.587960225822826,15.993949829299595,39.01678285272762
6.893,34.52128348871034,16.5375312769872,38.27804794454956
6.906,33.36991479660334,17.096686499069353,37.49463832043225
6.92,32.26107796768126,17.616361758085738,36.75749383770002
6.933,31.30081956092652,18.052318678054966,36.1334680710243
6.946,30.55735727071775,18.379569578370315,35.658949244985365
6.96,30.05230621601685,18.597390699968898,35.34125138911375
6.973,29.76123066806096,18.72987104914841,35.164455354736546
6.986,29.62310264730243,18.821773668115604,35.09682855282492
7.0,29.556493952927287,18.930361972742038,35.09907319586181
7.013,29.47903596055606,19.114609810431787,35.13377106672173
7.026,29.32610674519561,19.423723199298244,35.175297578749266
7.04,29.064954871355354,19.887055709343564,35.21741879326845
7.053,28.701482248013154,20.507267074657012,35.27496401279987
7.066,28.27846886120138,21.25799848276446,35.37759602668265
7.08,27.865804741647132,22.08652610910315,35.557245527004746
7.093,27.544932030130617,22.920959383758742,35.83425260301146
7.106,27.390858888984134,23.680739713529427,36.20823917364901
7.12,27.45555541652898,24.28861918211611,36.65712134093391
7.133,27.756196295230694,24.682061417056094,37.14310957061494
7.146,28.27065670472821,24.82214720572461,37.6213904902418
7.16,28.941124477670456,24.698552403178432,38.04743324909799
7.173,29.684988214884868,24.329897502033024,38.38153772033224
7.186,30.410653855048437,23.759604603717953,38.591795485784125
7.2,31.034942924396564,23.04817975476742,38.65729261508911
7.213,31.49843801180672,22.26342257759064,38.57216071277318
7.226,31.775618650267052,21.470348762856602,38.349260965576605
7.24,31.8777672494031,20.722552927202784,38.02126042923666
7.253,31.84817636263813,20.056365214849073,37.637270401254
7.266,31.7508260717186,19.488550465005723,37.25477896141111
7.28,31.655077822594144,19.017590720153304,36.92848099710781
7.293,31.619758756492644,18.62792221112044,36.6988913963671
7.306,31.68011504418125,18.29599499289073,36.58378222645168
7.32,31.840473185745836,17.996776733792316,36.57457731127139
7.333,32.07420078590434,17.70936621790888,36.63844985659899
7.346,32.33096737052916,17.420691281665476,36.72563050303312
7.36,32.54970871774005,17.126761927598146,36.78055888284391
