Frame,Time,X,Y
723,9.626,16.8,35.1
724,9.64,16.8,35.1
725,9.653,-1,-1
726,9.666,-1,-1
727,9.68,-1,-1
728,9.693,-1,-1
729,9.706,-1,-1
730,9.72,-1,-1
731,9.733,-1,-1
732,9.746,-1,-1
733,9.76,-1,-1
734,9.773,-1,-1
735,9.786,-1,-1
736,9.8,-1,-1
737,9.813,-1,-1
738,9.826,-1,-1
739,9.84,-1,-1
740,9.853,-1,-1
741,9.866,-1,-1
742,9.88,-1,-1
743,9.893,-1,-1
744,9.906,-1,-1
745,9.92,-1,-1
746,9.933,-1,-1
747,9.946,-1,-1
748,9.96,-1,-1
749,9.973,-1,-1
750,9.986,-1,-1
751,10,-1,-1
752,10.013,-1,-1
753,10.026,-1,-1
754,10.04,-1,-1
755,10.053,-1,-1
756,10.066,-1,-1
757,10.08,-1,-1
758,10.093,-1,-1
759,10.106,-1,-1
760,10.12,-1,-1
761,10.133,-1,-1
762,10.146,-1,-1
763,10.16,-1,-1
764,10.173,45,8.4
765,10.186,45,8.2
766,10.2,32.6,9.6
767,10.213,28.3,10.1
768,10.226,30,9.7
769,10.24,33,9.1
770,10.253,34.8,8.9
771,10.266,33.4,9.1
772,10.28,32.1,9.3
773,10.293,31.7,9.4
774,10.306,31.4,9.3
775,10.32,30.3,9.5
776,10.333,31.4,9.3
777,10.346,32.1,9.3
778,10.36,31.3,9.4
779,10.373,31.4,9.4
780,10.386,30.8,9.4
781,10.4,30.7,9.4
782,10.413,30.9,9.4
783,10.426,31.2,9.3
784,10.44,31.4,9.2
785,10.453,31,9.4
786,10.466,31.8,9.2
787,10.48,32.7,9.1
788,10.493,32.5,9.1
789,10.506,32.2,9.2
790,10.52,32,9.2
791,10.533,33.2,9
792,10.546,32.8,9.1
793,10.56,33.4,9.1
794,10.573,32.6,9.1
795,10.586,32.4,9.2
796,10.6,32.5,9.2
797,10.613,32.8,9.2
798,10.626,33.2,9.1
799,10.64,32.6,9.2
800,10.653,33.5,9.1
801,10.666,32.7,9.2
802,10.68,33.4,9.1
803,10.693,32.9,9.2
804,10.706,33.5,9.1
805,10.72,33.1,9.1
806,10.733,33.9,9.1
807,10.746,33.7,9.1
808,10.76,32.9,9.1
809,10.773,32.4,9.3
810,10.786,32.7,9.2
811,10.8,33.2,9.1
812,10.813,32.8,9.1
813,10.826,32.6,9.1
814,10.84,33.5,9
815,10.853,33.4,9
816,10.866,33.3,8.9
817,10.88,32.9,8.9
818,10.893,33.3,8.9
819,10.906,34,8.8
820,10.92,33,9
